站点,lon,lat,所属线路,所属区划
天潼路,121.47797826702994,31.24577697815547,10号线(新江湾城-虹桥火车站),闸北区
通河新村,121.43692692099344,31.33295026067643,1号线,宝山区
呼兰路,121.43308365072414,31.34151466887024,1号线,宝山区
共富新村,121.42942782007371,31.35688373529689,1号线,宝山区
宝安公路,121.42627249190888,31.371348472802683,1号线,宝山区
友谊西路,121.42330616726221,31.383082889984717,1号线,宝山区
富锦路,121.42000896512384,31.394040823636235,1号线,宝山区
江杨北路,121.43518974837995,31.409651584929147,3号线,宝山区
铁力路,121.45656190878786,31.40995357959463,3号线,宝山区
友谊路,121.47139329895151,31.40588745835331,3号线,宝山区
宝杨路,121.47505631652956,31.39719881688952,3号线,宝山区
水产路,121.4837606763241,31.38321453778153,3号线,宝山区
淞浜路,121.48834886989746,31.372857140730986,3号线,宝山区
张华浜,121.49422407960422,31.35996675118825,3号线,宝山区
淞发路,121.49595040076404,31.347095244464487,3号线,宝山区
长江南路,121.48701141331932,31.334000235621748,3号线,宝山区
殷高西路,121.48036300888413,31.321928378529574,3号线,宝山区
大华三路,121.41830531931757,31.27586855455468,7号线,宝山区
行知路,121.41684680809529,31.28675804713625,7号线,宝山区
大场镇,121.41189661890623,31.295130006207053,7号线,宝山区
场中路,121.40900671497623,31.305489879188,7号线,宝山区
上大路,121.40392228472288,31.316870602064075,7号线,宝山区
南陈路,121.39420387398405,31.32323562476111,7号线,宝山区
上海大学站,121.3842290911868,31.32239047362415,7号线,宝山区
祁华路,121.3689293215482,31.32413451136777,7号线,宝山区
顾村公园,121.36836812659507,31.34640630268414,7号线,宝山区
刘行,121.35775039612228,31.35940922215035,7号线,宝山区
潘广路,121.35123069292852,31.36601378407041,7号线,宝山区
罗南新村,121.35285047967061,31.390652508908293,7号线,宝山区
美兰湖,121.3453600391577,31.40377982794498,7号线,宝山区
浦东国际机场,121.80130134135729,31.153057542145604,2号线,浦东新区
海天三路,121.792567382236,31.17053619238381,2号线,浦东新区
远东大道,121.75092927735469,31.20141490991436,2号线,浦东新区
凌空路,121.71972788775372,31.19491144934293,2号线,浦东新区
川沙,121.6938754626823,31.188831839183553,2号线,浦东新区
华夏东路,121.676667325918,31.19869255251174,2号线,浦东新区
创新中路,121.66942086034607,31.21599403207217,2号线,浦东新区
唐镇,121.65201031530218,31.216262224333573,2号线,浦东新区
广兰路,121.61686416022428,31.213253834716873,2号线,浦东新区
金科路,121.59779027700786,31.206427957748808,2号线,浦东新区
张江高科,121.58348339037092,31.20404366366445,2号线,浦东新区
龙阳路,121.55338577270248,31.205746965508066,2号线,浦东新区
世纪公园,121.54664445156428,31.211576424464788,2号线,浦东新区
上海科技馆,121.5401566637588,31.220956272613282,2号线,浦东新区
世纪大道,121.5228774477828,31.23076880387515,2号线,浦东新区
东昌路,121.51118027596873,31.23532096443828,2号线,浦东新区
陆家嘴,121.49783827636446,31.240203782126788,2号线,浦东新区
