地铁线,区,点编号,地铁点,纬度,经度,边的起点编号,边的终点编号,起点纬度,起点经度,终点纬度,终点经度,,,,
2,浦东新区,7,创新中路,31.21351546,121.6737493,35,35,31.21351546,121.6737493,31.21431488,121.6561918,31.21391517,121.6649706,0.00039971,-0.00877875
2,浦东新区,8,唐镇,31.21431488,121.6561918,36,36,31.21431488,121.6561918,31.21086978,121.6211626,31.21259233,121.6386772,-0.00172255,-0.0175146
2,浦东新区,9,广兰路,31.21086978,121.6211626,37,37,31.21086978,121.6211626,31.20417555,121.6019765,31.20752267,121.6115696,-0.003347115,-0.00959305
2,浦东新区,10,金科路,31.20417555,121.6019765,38,38,31.20417555,121.6019765,31.20167617,121.5877087,31.20292586,121.5948426,-0.00124969,-0.0071339
2,浦东新区,11,张江高科,31.20167617,121.5877087,39,39,31.20167617,121.5877087,31.20282889,121.5575192,31.20225253,121.572614,0.00057636,-0.01509475
2,浦东新区,12,龙阳路,31.20282889,121.5575192,40,40,31.20282889,121.5575192,31.20929107,121.5509483,31.20605998,121.5542338,0.00323109,-0.00328545
2,浦东新区,13,世纪公园,31.20929107,121.5509483,41,41,31.20929107,121.5509483,31.21856321,121.5448713,31.21392714,121.5479098,0.00463607,-0.0030385
2,浦东新区,14,上海科技馆,31.21856321,121.5448713,42,42,31.21856321,121.5448713,31.22891984,121.5269903,31.22374153,121.5359308,0.005178315,-0.0089405
2,浦东新区,15,世纪大道,31.22891984,121.5269903,43,43,31.22891984,121.5269903,31.23335064,121.5154202,31.23113524,121.5212053,0.0022154,-0.00578505
2,浦东新区,16,东昌路,31.23335064,121.5154202,44,44,31.23335064,121.5154202,31.23817032,121.5023797,31.23576048,121.5089,0.00240984,-0.00652025
2,浦东新区,17,陆家嘴,31.23817032,121.5023797,45,45,31.23817032,121.5023797,31.23799308,121.4842783,31.2380817,121.493329,-8.862E-05,-0.0090507
2,黄浦区,18,南京东路,31.23799308,121.4842783,46,46,31.23799308,121.4842783,31.23277805,121.4745619,31.23538557,121.4794201,-0.002607515,-0.0048582
2,黄浦区,19,人民广场,31.23277805,121.4745619,47,47,31.23277805,121.4745619,31.22802912,121.4594448,31.23040359,121.4670034,-0.002374465,-0.00755855
2,静安区,20,南京西路,31.22802912,121.4594448,48,48,31.22802912,121.4594448,31.22315888,121.4476528,31.225594,121.4535488,-0.00243512,-0.005896
2,静安区,21,静安寺,31.22315888,121.4476528,49,49,31.22315888,121.4476528,31.22020369,121.4312836,31.22168129,121.4394682,-0.001477595,-0.0081846
2,长宁区,22,江苏路,31.22020369,121.4312836,50,50,31.22020369,121.4312836,31.21822887,121.4163673,31.21921628,121.4238255,-0.00098741,-0.00745815
2,长宁区,23,中山公园,31.21822887,121.4163673,51,51,31.21822887,121.4163673,31.21112641,121.4038195,31.21467764,121.4100934,-0.00355123,-0.0062739
2,长宁区,24,娄山关路,31.21112641,121.4038195,52,52,31.21112641,121.4038195,31.2148238,121.3870513,31.21297511,121.3954354,0.001848695,-0.0083841
2,长宁区,25,威宁路,31.2148238,121.3870513,53,53,31.2148238,121.3870513,31.21644187,121.3740166,31.21563284,121.380534,0.000809035,-0.00651735
2,长宁区,26,北新泾,31.21644187,121.3740166,54,54,31.21644187,121.3740166,31.21818972,121.3594132,31.2173158,121.3667149,0.000873925,-0.0073017
2,长宁区,27,淞虹路,31.21818972,121.3594132,55,55,31.21818972,121.3594132,31.19379121,121.3261359,31.20599047,121.3427746,-0.012199255,-0.01663865
2,闵行区,28,虹桥2号航站楼 ,31.19379121,121.3261359,56,56,31.19379121,121.3261359,31.19396321,121.3214749,31.19387721,121.3238054,8.6E-05,-0.0023305
2,闵行区,29,虹桥火车站,31.19396321,121.3214749,57,57,31.19396321,121.3214749,31.18817965,121.2993571,31.19107143,121.310416,-0.00289178,-0.0110589
2,青浦区,30,徐泾东,31.18817965,121.2993571,58,58,31.18817965,121.2993571,31.18817965,121.2993571,31.18817965,121.2993571,0,0
3,徐汇区,1,上海南站,31.15408368,121.4303053,59,59,31.15408368,121.4303053,31.15791379,121.4431085,31.15599874,121.4367069,0.001915055,0.0064016
3,徐汇区,2,石龙路,31.15791379,121.4431085,60,60,31.15791379,121.4431085,31.16984456,121.4440376,31.16387918,121.4435731,0.005965385,0.00046455
3,徐汇区,3,龙漕路,31.16984456,121.4440376,61,61,31.16984456,121.4440376,31.1766357,121.4383414,31.17324013,121.4411895,0.00339557,-0.0028481
3,徐汇区,4,漕溪路,31.1766357,121.4383414,62,62,31.1766357,121.4383414,31.1863361,121.4272028,31.1814859,121.4327721,0.0048502,-0.0055693
3,徐汇区,5,宜山路,31.1863361,121.4272028,63,63,31.1863361,121.4272028,31.19691457,121.4216066,31.19162534,121.4244047,0.005289235,-0.0027981
3,长宁区,6,虹桥路,31.19691457,121.4216066,64,64,31.19691457,121.4216066,31.20961987,121.4170693,31.20326722,121.419338,0.00635265,-0.00226865
3,长宁区,7,延安西路,31.20961987,121.4170693,65,65,31.20961987,121.4170693,31.21822887,121.4163673,31.21392437,121.4167183,0.0043045,-0.000351
3,长宁区,8,中山公园,31.21822887,121.4163673,66,66,31.21822887,121.4163673,31.23190043,121.4128068,31.22506465,121.4145871,0.00683578,-0.00178025
3,普陀区,9,金沙江路,31.23190043,121.4128068,67,67,31.23190043,121.4128068,31.23858343,121.4179058,31.23524193,121.4153563,0.0033415,0.0025495
3,普陀区,10,曹杨路,31.23858343,121.4179058,68,68,31.23858343,121.4179058,31.24647436,121.4304401,31.2425289,121.424173,0.003945465,0.00626715
3,普陀区,11,镇坪路,31.24647436,121.4304401,69,69,31.24647436,121.4304401,31.25458115,121.4410549,31.25052776,121.4357475,0.004053395,0.0053074
3,普陀区,12,中潭路,31.25458115,121.4410549,70,70,31.25458115,121.4410549,31.24966297,121.4556254,31.25212206,121.4483402,-0.00245909,0.00728525
